id_aluno,idade,semestre,tempo_resposta,horas_estudo_dia,media_geral,satisfacao_curso,horario_estudo,linguagem_preferida,framework_preferido,formato_conteudo_principal,formato_conteudo_secundario,faltas_percentual,estuda_em_grupo,usa_biblioteca,participa_monitoria,ambiente_desenvolvimento,sistema_operacional,area_interesse,busca_estagio,prefere_backend,interesse_pesquisa,dificuldade_percebida,comentario
STU000059,21,8,2025-01-01 08:01:00,3.1,7.27,4.0,Manhã,Python,React,Exercícios Práticos,Texto,17.3,False,False,False,VSCode,Linux,Data Science,True,False,False,1,Feedback detalhado do aluno 59 - Regular. Desempenho normal. 
STU000060,23,8,2025-01-29 11:05:00,1.0,4.53,2.0,Manhã,Go,Django,Projetos,Projetos,14.1,False,False,False,IntelliJ,MacOS,DevOps,False,False,False,1,Feedback detalhado do aluno 60 - Regular. Desempenho normal. 
STU000061,19,1,2025-01-08 20:47:00,3.0,6.32,4.0,Manhã,JavaScript,React,Mentoria,Video,8.6,False,False,False,VSCode,Windows,DevOps,False,True,False,1,Feedback detalhado do aluno 61 - Regular. Desempenho normal. 
STU000062,20,10,2025-01-19 08:02:00,4.7,9.15,5.0,Tarde,JavaScript,React,Mentoria,Exercícios Práticos,7.0,True,True,False,VSCode,Windows,Web Development,True,True,False,1,Feedback detalhado do aluno 62 - Regular. Ótimo desempenho! 
STU000063,17,2,2025-01-28 10:04:00,4.3,6.38,4.0,Manhã,Java,React,Video,Mentoria,16.6,False,True,False,PyCharm,MacOS,Security,True,True,False,1,Feedback detalhado do aluno 63 - Regular. Desempenho normal. 
STU000064,17,8,2025-01-27 19:11:00,0.5,5.1,2.0,Manhã,Java,Vue,Texto,Mentoria,11.4,False,False,False,VSCode,Linux,Mobile Dev,False,False,False,2,Feedback detalhado do aluno 64 - Regular. Desempenho normal. 
STU000065,23,1,2025-01-20 20:19:00,4.2,8.43,5.0,Manhã,JavaScript,React,Video,Video,18.3,False,True,True,PyCharm,MacOS,Web Development,False,False,False,1,Feedback detalhado do aluno 65 - Regular. Ótimo desempenho! 
STU000066,25,8,2025-01-09 14:03:00,0.6,4.43,2.0,Manhã,C++,Angular,Projetos,Projetos,6.8,False,False,False,VSCode,Linux,Data Science,False,False,False,1,Feedback detalhado do aluno 66 - Regular. Desempenho normal. 
STU000067,20,8,2025-01-19 13:18:00,0.5,4.0,1.0,Manhã,C++,React,Texto,Texto,23.0,False,False,False,IntelliJ,MacOS,Mobile Dev,True,True,False,3,Feedback detalhado do aluno 67 - Regular. Desempenho normal. 
STU000068,24,2,2025-01-06 18:44:00,0.6,4.0,2.0,Manhã,Python,Flask,Exercícios Práticos,Projetos,18.3,False,False,False,VSCode,Windows,Web Development,True,False,False,1,Feedback detalhado do aluno 68 - Regular. Desempenho normal. 
STU000069,22,4,2025-01-11 20:12:00,0.5,4.0,2.0,Tarde,JavaScript,Angular,Projetos,Projetos,15.5,False,False,False,VSCode,Windows,Data Science,False,False,False,1,Feedback detalhado do aluno 69 - Regular. Desempenho normal. 
STU000070,19,6,2025-01-28 16:21:00,1.5,4.66,3.0,Manhã,Java,React,Texto,Projetos,23.4,False,False,False,IntelliJ,Windows,Web Development,True,False,False,2,Feedback detalhado do aluno 70 - Regular. Desempenho normal. 
STU000071,22,9,2025-01-28 11:46:00,2.0,6.02,3.0,Tarde,SQL,Vue,Texto,Video,19.7,False,False,False,Vim,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 71 - Regular. Desempenho normal. 
STU000072,25,8,2025-01-21 20:21:00,5.6,8.57,5.0,Manhã,JavaScript,Spring,Mentoria,Video,12.6,False,True,True,VSCode,Windows,DevOps,False,True,False,1,Feedback detalhado do aluno 72 - Muito engajado! Ótimo desempenho! 
STU000073,20,8,2025-01-11 10:07:00,2.7,6.45,3.0,Manhã,JavaScript,Vue,Mentoria,Texto,15.4,False,False,False,IntelliJ,Linux,DevOps,True,True,False,1,Feedback detalhado do aluno 73 - Regular. Desempenho normal. 
STU000074,25,7,2025-01-20 15:41:00,0.9,4.26,2.0,Manhã,Python,Spring,Video,Projetos,5.2,False,False,False,PyCharm,MacOS,Data Science,False,True,False,2,Feedback detalhado do aluno 74 - Regular. Desempenho normal. 
STU000075,17,9,2025-01-26 10:25:00,4.2,7.74,4.0,Manhã,JavaScript,Angular,Exercícios Práticos,Video,20.3,False,True,False,IntelliJ,Windows,AI/ML,True,True,False,1,Feedback detalhado do aluno 75 - Regular. Desempenho normal. 
STU000076,23,2,2025-01-23 18:12:00,0.5,4.0,2.0,Manhã,Python,Vue,Mentoria,Texto,13.5,False,False,False,Eclipse,Windows,Data Science,False,False,False,3,Feedback detalhado do aluno 76 - Regular. Desempenho normal. 
STU000077,21,3,2025-01-28 16:19:00,1.7,5.06,3.0,Manhã,Java,Django,Video,Texto,5.1,False,False,False,VSCode,Windows,DevOps,True,False,False,1,Feedback detalhado do aluno 77 - Regular. Desempenho normal. 
STU000078,20,10,2025-01-24 10:47:00,3.3,7.73,5.0,Manhã,Python,React,Texto,Projetos,9.1,True,False,False,Others,Windows,Security,True,False,False,1,Feedback detalhado do aluno 78 - Regular. Desempenho normal. 
STU000079,21,8,2025-01-07 10:11:00,0.5,4.0,2.0,Manhã,C++,Vue,Video,Exercícios Práticos,19.4,False,False,False,VSCode,Windows,Security,True,True,False,1,Feedback detalhado do aluno 79 - Regular. Desempenho normal. 
STU000080,17,6,2025-01-15 14:13:00,4.7,7.72,4.0,Manhã,Python,Django,Exercícios Práticos,Projetos,23.1,True,True,False,VSCode,Windows,Web Development,True,True,False,1,Feedback detalhado do aluno 80 - Regular. Desempenho normal. 
STU000081,20,10,2025-01-11 17:41:00,2.5,6.36,3.0,Tarde,Java,Spring,Video,Exercícios Práticos,15.1,False,False,False,Sublime,Windows,Data Science,True,False,False,1,Feedback detalhado do aluno 81 - Regular. Desempenho normal. 
STU000082,22,9,2025-01-27 18:37:00,1.0,5.25,3.0,Tarde,SQL,React,Texto,Texto,10.1,False,False,False,IntelliJ,Windows,DevOps,False,True,False,1,Feedback detalhado do aluno 82 - Regular. Desempenho normal. 
STU000083,25,10,2025-01-02 18:18:00,3.1,6.37,3.0,Manhã,Python,Spring,Video,Video,7.9,False,False,False,IntelliJ,Linux,DevOps,False,True,False,1,Feedback detalhado do aluno 83 - Regular. Desempenho normal. 
STU000084,19,4,2025-01-06 21:51:00,7.6,10.0,4.0,Madrugada,JavaScript,None,Exercícios Práticos,Mentoria,22.1,False,True,True,PyCharm,Windows,Security,False,False,False,1,Feedback detalhado do aluno 84 - Muito engajado! Ótimo desempenho! 
STU000085,18,8,2025-01-06 08:41:00,2.6,6.27,3.0,Tarde,Java,Django,Mentoria,Texto,17.2,False,False,False,IntelliJ,Windows,Data Science,False,False,False,1,Feedback detalhado do aluno 85 - Regular. Desempenho normal. 
STU000086,19,10,2025-01-28 08:34:00,2.7,6.53,3.0,Manhã,Python,Django,Projetos,Video,13.3,False,False,False,VSCode,Windows,Mobile Dev,True,True,False,1,Feedback detalhado do aluno 86 - Regular. Desempenho normal. 
STU000087,23,3,2025-01-08 15:58:00,1.6,4.88,2.0,Tarde,R,Angular,Projetos,Texto,12.2,False,False,False,PyCharm,Windows,Web Development,True,False,False,1,Feedback detalhado do aluno 87 - Regular. Desempenho normal. 
STU000088,21,3,2025-01-20 13:46:00,0.5,4.0,2.0,Tarde,Python,Vue,Exercícios Práticos,Projetos,18.4,False,False,False,VSCode,MacOS,Mobile Dev,True,False,False,2,Feedback detalhado do aluno 88 - Regular. Desempenho normal. 
STU000089,19,8,2025-01-24 14:10:00,3.5,6.88,4.0,Tarde,Java,Django,Video,Exercícios Práticos,18.2,False,False,False,Eclipse,MacOS,AI/ML,False,False,False,1,Feedback detalhado do aluno 89 - Regular. Desempenho normal. 
STU000090,22,5,2025-01-07 20:03:00,0.5,4.0,2.0,Manhã,JavaScript,Django,Video,Texto,10.5,False,False,False,Others,Windows,Web Development,True,False,False,2,Feedback detalhado do aluno 90 - Regular. Desempenho normal. 
STU000091,21,3,2025-01-25 19:25:00,2.1,5.2,3.0,Manhã,JavaScript,Flask,Mentoria,Video,9.3,False,False,False,VSCode,MacOS,Web Development,True,True,False,1,Feedback detalhado do aluno 91 - Regular. Desempenho normal. 
STU000092,23,10,2025-01-06 21:11:00,1.0,4.0,2.0,Manhã,C++,Angular,Texto,Projetos,9.5,False,False,False,IntelliJ,Windows,Mobile Dev,True,False,False,3,Feedback detalhado do aluno 92 - Regular. Desempenho normal. 
STU000093,18,1,2025-01-11 10:52:00,3.3,6.93,4.0,Manhã,Python,React,Video,Mentoria,12.7,False,False,False,VSCode,MacOS,Data Science,True,True,False,1,Feedback detalhado do aluno 93 - Regular. Desempenho normal. 
STU000094,20,3,2025-01-05 21:52:00,2.7,6.76,3.0,Manhã,Python,React,Projetos,Projetos,11.6,False,False,False,VSCode,Windows,Web Development,False,True,False,1,Feedback detalhado do aluno 94 - Regular. Desempenho normal. 
STU000095,19,9,2025-01-24 16:12:00,4.4,6.69,4.0,Manhã,C++,Spring,Video,Exercícios Práticos,23.1,False,True,False,Vim,Windows,Data Science,True,False,False,1,Feedback detalhado do aluno 95 - Regular. Desempenho normal. 
STU000096,17,5,2025-01-25 20:53:00,0.9,4.0,2.0,Manhã,JavaScript,React,Video,Projetos,12.5,False,False,False,VSCode,MacOS,Web Development,True,True,False,3,Feedback detalhado do aluno 96 - Regular. Desempenho normal. 
STU000097,21,10,2025-01-22 16:51:00,1.5,5.35,3.0,Manhã,R,Django,Mentoria,Mentoria,8.8,False,False,False,IntelliJ,MacOS,Security,False,False,False,1,Feedback detalhado do aluno 97 - Regular. Desempenho normal. 
STU000098,21,2,2025-01-22 11:10:00,0.5,4.71,2.0,Tarde,R,Flask,Projetos,Video,9.0,False,False,False,Eclipse,MacOS,Web Development,True,False,False,1,Feedback detalhado do aluno 98 - Regular. Desempenho normal. 
STU000099,21,7,2025-01-17 14:45:00,1.6,4.82,2.0,Tarde,R,React,Texto,Texto,14.1,False,False,False,Sublime,Windows,Mobile Dev,False,False,False,1,Feedback detalhado do aluno 99 - Regular. Desempenho normal. 
STU000100,20,2,2025-01-26 18:27:00,2.9,6.07,4.0,Tarde,Java,Angular,Mentoria,Exercícios Práticos,5.9,False,False,False,IntelliJ,Windows,Web Development,True,False,False,1,Feedback detalhado do aluno 100 - Regular. Desempenho normal. 
STU000101,17,4,2025-01-22 16:22:00,4.0,7.24,4.0,Manhã,Java,Django,Exercícios Práticos,Mentoria,14.7,False,False,False,IntelliJ,Linux,Web Development,True,True,False,1,Feedback detalhado do aluno 101 - Regular. Desempenho normal. 
STU000102,19,7,2025-01-13 14:49:00,0.5,4.45,2.0,Tarde,R,Vue,Projetos,Exercícios Práticos,8.3,False,False,False,PyCharm,Windows,Web Development,False,True,False,1,Feedback detalhado do aluno 102 - Regular. Desempenho normal. 
STU000103,19,4,2025-01-28 18:46:00,4.8,7.42,4.0,Tarde,Java,Angular,Video,Projetos,20.8,False,True,False,Others,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 103 - Regular. Desempenho normal. 
STU000104,18,7,2025-01-25 17:24:00,4.6,8.01,5.0,Manhã,Python,React,Video,Exercícios Práticos,15.6,True,True,True,PyCharm,Windows,Data Science,True,True,False,1,Feedback detalhado do aluno 104 - Regular. Ótimo desempenho! 
STU000105,20,7,2025-01-22 20:18:00,3.4,6.4,3.0,Manhã,SQL,Spring,Exercícios Práticos,Mentoria,25.6,False,False,False,IntelliJ,Windows,Mobile Dev,False,True,False,1,Feedback detalhado do aluno 105 - Regular. Desempenho normal. 
STU000106,22,1,2025-01-01 11:13:00,5.2,8.9,5.0,Tarde,SQL,React,Projetos,Texto,13.9,False,True,True,VSCode,Windows,DevOps,True,True,False,1,Feedback detalhado do aluno 106 - Muito engajado! Ótimo desempenho! 
STU000107,26,6,2025-01-14 10:29:00,0.7,4.11,2.0,Noite,Java,Flask,Exercícios Práticos,Texto,0.0,False,False,False,VSCode,Windows,Data Science,False,False,False,1,Feedback detalhado do aluno 107 - Regular. Desempenho normal. 
STU000108,21,9,2025-01-28 08:02:00,0.5,4.1,2.0,Manhã,Python,Flask,Video,Exercícios Práticos,22.3,False,False,False,IntelliJ,Windows,Web Development,False,False,False,1,Feedback detalhado do aluno 108 - Regular. Desempenho normal. 
STU000109,21,2,2025-01-16 21:29:00,0.5,4.0,2.0,Manhã,Java,Django,Video,Video,17.5,False,False,False,Vim,Linux,Mobile Dev,True,False,False,2,Feedback detalhado do aluno 109 - Regular. Desempenho normal. 
STU000110,20,3,2025-01-20 20:44:00,5.9,8.89,5.0,Manhã,R,Django,Projetos,Exercícios Práticos,18.3,True,True,False,Sublime,Windows,Web Development,False,False,False,1,Feedback detalhado do aluno 110 - Muito engajado! Ótimo desempenho! 
STU000111,17,10,2025-01-15 21:55:00,3.2,6.8,4.0,Manhã,TypeScript,Django,Video,Projetos,10.0,False,False,False,Others,Windows,Web Development,False,True,False,1,Feedback detalhado do aluno 111 - Regular. Desempenho normal. 
STU000112,20,5,2025-01-25 10:37:00,2.0,4.74,2.0,Tarde,Python,Angular,Exercícios Práticos,Texto,14.8,False,False,False,IntelliJ,Windows,Data Science,False,True,False,1,Feedback detalhado do aluno 112 - Regular. Desempenho normal. 
STU000113,21,9,2025-01-10 18:46:00,3.0,6.76,4.0,Tarde,Python,Django,Video,Texto,15.9,False,False,False,Eclipse,MacOS,Mobile Dev,False,True,False,1,Feedback detalhado do aluno 113 - Regular. Desempenho normal. 
